"object_name"	"path"	"object_size"	"object_type"	"parant_directory"
"File_manager"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	36128	"directory"	""
"new_users.json"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	331	"file"	""
"users.json"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	134	"file"	""
"users.csv"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	50	"file"	""
"result.pickle"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	0	"file"	""
"task_1.txt"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	111	"file"	""
"result.csv"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	0	"file"	""
"task_1.pickle"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	215	"file"	""
"new_users.csv"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	159	"file"	""
"Лекция_8._Погружение_в_Python._Сериализация.docx.pdf"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	437320	"file"	""
"result.json"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	0	"file"	""
"task_1.json"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	201	"file"	""
"new_users.pickle"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	167	"file"	""
"users.pickle"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	88	"file"	""
"main.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8"	2348	"file"	""
"__pycache__"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	22056	"directory"	""
"create_file_txt.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	693	"file"	""
"txt_to_json.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	1192	"file"	""
"pickle_to_csv.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	1375	"file"	""
"json_to_pickle.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	861	"file"	""
"csv_to_pickle.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	1132	"file"	""
"csv_to_json.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	2184	"file"	""
"json_to_csv.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	1391	"file"	""
"create_file_json.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	2038	"file"	""
"directory_reference.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	3206	"file"	""
"__init__.py"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager"	0	"file"	""
"json_to_pickle.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	1604	"file"	""
"csv_to_json.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	3149	"file"	""
"json_to_csv.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	2314	"file"	""
"txt_to_json.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	1879	"file"	""
"pickle_to_csv.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	2183	"file"	""
"directory_reference.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	4610	"file"	""
"csv_to_pickle.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	1814	"file"	""
"create_file_json.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	2891	"file"	""
"__init__.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	207	"file"	""
"create_file_txt.cpython-312.pyc"	"/run/media/kostia/Data/_Repositories/04_DataEngineer/01_Погружение_в_Python/Lesson_8/File_manager/__pycache__"	1405	"file"	""
